n1,r1,n2,r2,ratio
512,48,2048,48,0.992329989
512,48,2048,56,1.047919416
512,48,2048,64,1.116086957
512,56,2048,56,1.010523975
512,56,2048,64,1.077132587
512,64,2048,64,1.05601119
512,5,4096,5,0.960591133
512,5,4096,8,0.977622891
512,5,4096,10,0.985991379
512,5,4096,16,1.110830888
512,5,4096,20,1.168378577
512,5,4096,24,1.227378332
512,5,4096,32,1.367158841
512,5,4096,40,1.492571533
512,5,4096,48,1.609042553
512,5,4096,56,1.732064249
512,5,4096,64,1.841640682
512,8,4096,8,0.922943723
512,8,4096,10,0.935064935
512,8,4096,16,1.056026786
512,8,4096,20,1.114285714
512,8,4096,24,1.165860806
512,8,4096,32,1.290692641
512,8,4096,40,1.409090909
512,8,4096,48,1.525210084
512,8,4096,56,1.635188621
512,8,4096,64,1.738636364
512,10,4096,10,0.899100899
512,10,4096,16,1.024558212
512,10,4096,20,1.074561404
512,10,4096,24,1.128823662
512,10,4096,32,1.257380229
512,10,4096,40,1.372722672
512,10,4096,48,1.47984143
512,10,4096,56,1.592984866
512,10,4096,64,1.685697115
512,16,4096,16,0.915406162
512,16,4096,20,0.961344538
512,16,4096,24,1.017864924
512,16,4096,32,1.13015873
512,16,4096,40,1.227375566
512,16,4096,48,1.333146592
512,16,4096,56,1.42431588
512,16,4096,64,1.507211538
512,20,4096,20,0.914966964
512,20,4096,24,0.961170162
512,20,4096,32,1.070633439
512,20,4096,40,1.166500499
512,20,4096,48,1.256646726
512,20,4096,56,1.351964515
512,20,4096,64,1.435336469
512,24,4096,24,0.907960199
512,24,4096,32,1.018740882
512,24,4096,40,1.095836606
512,24,4096,48,1.190298507
512,24,4096,56,1.278259615
512,24,4096,64,1.352120974
512,32,4096,32,0.921068891
512,32,4096,40,1.005560704
512,32,4096,48,1.088025056
512,32,4096,56,1.171492156
512,32,4096,64,1.238700023
512,40,4096,40,0.934771443
512,40,4096,48,1.018518519
512,40,4096,56,1.077305965
512,40,4096,64,1.144982125
512,48,4096,48,0.973820537
512,48,4096,56,1.02646418
512,48,4096,64,1.107534714
512,56,4096,56,0.984881049
512,56,4096,64,1.046751093
512,64,4096,64,1.021452302
1024,5,1024,5,1
1024,5,1024,8,1.017228739
1024,5,1024,10,1.067082111
1024,5,1024,16,1.177831745
1024,5,1024,20,1.252199413
1024,5,1024,24,1.348973607
1024,5,1024,32,1.470285007
1024,5,1024,40,1.592008798
1024,5,1024,48,1.724477639
1024,5,1024,56,1.81085044
1024,5,1024,64,1.911656891
1024,8,1024,8,1
1024,8,1024,10,1.036738433
1024,8,1024,16,1.165368759
1024,8,1024,20,1.230990991
1024,8,1024,24,1.316994961
1024,8,1024,32,1.445382883
1024,8,1024,40,1.574144144
1024,8,1024,48,1.69527027
1024,8,1024,56,1.788738739
1024,8,1024,64,1.879279279
1024,10,1024,10,1
