n1,r1,n2,r2,ratio
512,48,2048,48,0.992329989
512,48,2048,56,0.898216642
512,48,2048,64,0.837065217
512,56,2048,56,1.010523975
512,56,2048,64,0.942491014
512,64,2048,64,1.05601119
512,5,4096,5,0.960591133
512,5,4096,8,0.611014307
512,5,4096,10,0.49299569
512,5,4096,16,0.347134652
512,5,4096,20,0.292094644
512,5,4096,24,0.255703819
512,5,4096,32,0.213618569
512,5,4096,40,0.186571442
512,5,4096,48,0.167608599
512,5,4096,56,0.154648594
512,5,4096,64,0.143878178
512,8,4096,8,0.922943723
512,8,4096,10,0.748051948
512,8,4096,16,0.528013393
512,8,4096,20,0.445714286
512,8,4096,24,0.388620269
512,8,4096,32,0.32267316
512,8,4096,40,0.281818182
512,8,4096,48,0.254201681
512,8,4096,56,0.233598374
512,8,4096,64,0.217329545
512,10,4096,10,0.899100899
512,10,4096,16,0.640348883
512,10,4096,20,0.537280702
512,10,4096,24,0.470343192
512,10,4096,32,0.392931322
512,10,4096,40,0.343180668
512,10,4096,48,0.308300298
512,10,4096,56,0.284461583
512,10,4096,64,0.263390174
512,16,4096,16,0.915406162
512,16,4096,20,0.76907563
512,16,4096,24,0.678576616
512,16,4096,32,0.565079365
512,16,4096,40,0.490950226
512,16,4096,48,0.444382197
512,16,4096,56,0.406947394
512,16,4096,64,0.376802885
512,20,4096,20,0.914966964
512,20,4096,24,0.800975135
512,20,4096,32,0.669145899
512,20,4096,40,0.583250249
512,20,4096,48,0.523602803
512,20,4096,56,0.48284447
512,20,4096,64,0.448542647
512,24,4096,24,0.907960199
512,24,4096,32,0.764055662
512,24,4096,40,0.657501964
512,24,4096,48,0.595149254
512,24,4096,56,0.547825549
512,24,4096,64,0.507045365
512,32,4096,32,0.921068891
512,32,4096,40,0.804448563
512,32,4096,48,0.725350037
512,32,4096,56,0.669424089
512,32,4096,64,0.619350012
512,40,4096,40,0.934771443
512,40,4096,48,0.848765432
512,40,4096,56,0.769504261
512,40,4096,64,0.715613828
512,48,4096,48,0.973820537
512,48,4096,56,0.87982644
512,48,4096,64,0.830651036
512,56,4096,56,0.984881049
512,56,4096,64,0.915907207
512,64,4096,64,1.021452302
1024,5,1024,5,1
1024,5,1024,8,0.635767962
1024,5,1024,10,0.533541056
1024,5,1024,16,0.36807242
1024,5,1024,20,0.313049853
1024,5,1024,24,0.281036168
1024,5,1024,32,0.229732032
1024,5,1024,40,0.1990011
1024,5,1024,48,0.179633087
1024,5,1024,56,0.161683075
1024,5,1024,64,0.149348195
1024,8,1024,8,1
1024,8,1024,10,0.829390747
1024,8,1024,16,0.582684379
1024,8,1024,20,0.492396396
1024,8,1024,24,0.43899832
1024,8,1024,32,0.361345721
1024,8,1024,40,0.314828829
1024,8,1024,48,0.282545045
1024,8,1024,56,0.255534106
1024,8,1024,64,0.23490991
