n1,r1,n2,r2,ratio
512,8,4096,8,0.934768847
512,8,4096,10,0.953044002
512,8,4096,16,1.049609205
512,8,4096,20,1.128768451
512,8,4096,32,1.32242884
512,8,4096,40,1.447380258
512,8,4096,64,1.765160999
512,10,4096,10,0.917257833
512,10,4096,16,1.008816272
512,10,4096,20,1.086975373
512,10,4096,32,1.270952248
512,10,4096,40,1.391152378
512,10,4096,64,1.706254675
512,16,4096,16,0.861475693
512,16,4096,20,0.920923601
512,16,4096,32,1.079298177
512,16,4096,40,1.19034452
512,16,4096,64,1.441352951
512,20,4096,20,0.882766809
512,20,4096,32,1.033568624
512,20,4096,40,1.14460953
512,20,4096,64,1.385359252
512,32,4096,32,0.896366717
512,32,4096,40,0.990118336
512,32,4096,64,1.203953313
512,40,4096,40,0.9307242
512,40,4096,64,1.130347882
512,64,4096,64,1.00034672
1024,2,1024,2,1
1024,2,1024,4,0.916048952
1024,2,1024,5,0.923909823
1024,2,1024,8,0.948085883
1024,2,1024,10,0.976913069
1024,2,1024,16,1.198463564
1024,2,1024,20,1.189623909
1024,2,1024,32,1.374938246
1024,2,1024,40,1.507103166
1024,2,1024,64,1.764752489
1024,4,1024,4,1
1024,4,1024,5,0.997635514
1024,4,1024,8,1.025319477
1024,4,1024,10,1.06123358
1024,4,1024,16,1.300979071
1024,4,1024,20,1.288641665
1024,4,1024,32,1.511327709
1024,4,1024,40,1.652815834
1024,4,1024,64,1.972067761
1024,5,1024,5,1
1024,5,1024,8,1.028825756
1024,5,1024,10,1.070136958
1024,5,1024,16,1.282257936
1024,5,1024,20,1.296691284
1024,5,1024,32,1.47198898
1024,5,1024,40,1.627600491
1024,5,1024,64,1.907615649
1024,8,1024,8,1
1024,8,1024,10,1.038202225
1024,8,1024,16,1.260540494
1024,8,1024,20,1.250341146
1024,8,1024,32,1.442900127
1024,8,1024,40,1.600929617
1024,8,1024,64,1.870470158
1024,10,1024,10,1
1024,10,1024,16,1.228163702
1024,10,1024,20,1.218762152
1024,10,1024,32,1.41233627
1024,10,1024,40,1.55921185
1024,10,1024,64,1.831579671
1024,16,1024,16,1
1024,16,1024,20,0.99071435
1024,16,1024,32,1.147195252
1024,16,1024,40,1.270034262
1024,16,1024,64,1.486194199
1024,20,1024,20,1
1024,20,1024,32,1.156284856
1024,20,1024,40,1.279724782
1024,20,1024,64,1.496198661
1024,32,1024,32,1
1024,32,1024,40,1.088855675
1024,32,1024,64,1.29304054
1024,40,1024,40,1
1024,40,1024,64,1.175596865
1024,64,1024,64,1
1024,2,2048,2,0.955529798
1024,2,2048,4,0.906655732
1024,2,2048,5,0.893684432
1024,2,2048,8,0.9215
1024,2,2048,10,0.9503
1024,2,2048,16,1.066058236
1024,2,2048,20,1.117919166
1024,2,2048,32,1.32670228
1024,2,2048,40,1.441159501
1024,2,2048,64,1.755787882
1024,4,2048,4,0.97470796
1024,4,2048,5,0.96238517
1024,4,2048,8,0.998885887
1024,4,2048,10,1.033256636
1024,4,2048,16,1.145857585
1024,4,2048,20,1.213917238
1024,4,2048,32,1.437171919
1024,4,2048,40,1.571864889
1024,4,2048,64,1.929806346
1024,5,2048,5,0.955625349
1024,5,2048,8,1.0031911
1024,5,2048,10,1.034057161
1024,5,2048,16,1.151167327
1024,5,2048,20,1.224137284
1024,5,2048,32,1.439594077
1024,5,2048,40,1.554816716
1024,5,2048,64,1.885424304
1024,8,2048,8,0.972998872
1024,8,2048,10,1.005241999
1024,8,2048,16,1.11981982
1024,8,2048,20,1.18779676
1024,8,2048,32,1.394280391
1024,8,2048,40,1.523501168
1024,8,2048,64,1.854853467
1024,10,2048,10,0.969048638
1024,10,2048,16,1.080333909
1024,10,2048,20,1.147000709
1024,10,2048,32,1.35701424
1024,10,2048,40,1.480741865
1024,10,2048,64,1.81362273
1024,16,2048,16,0.886460801
1024,16,2048,20,0.936986152
1024,16,2048,32,1.106775331
1024,16,2048,40,1.205420955
1024,16,2048,64,1.473091776
1024,20,2048,20,0.945457418
1024,20,2048,32,1.113893406
1024,20,2048,40,1.2140251
1024,20,2048,64,1.48638921
1024,32,2048,32,0.964500407
1024,32,2048,40,1.047688419
1024,32,2048,64,1.27464956
1024,40,2048,40,0.954685577
1024,40,2048,64,1.17056439
1024,64,2048,64,0.987289535
1024,2,4096,2,0.939479167
1024,2,4096,4,0.880583147
1024,2,4096,5,0.897001849
1024,2,4096,8,0.914046053
1024,2,4096,10,0.941871578
1024,2,4096,16,1.02579996
1024,2,4096,20,1.106391365
1024,2,4096,32,1.286609644
1024,2,4096,40,1.399588547
1024,2,4096,64,1.706917299
1024,4,4096,4,0.957083726
1024,4,4096,5,0.971805498
1024,4,4096,8,0.979728321
1024,4,4096,10,1.007458418
1024,4,4096,16,1.104673976
1024,4,4096,20,1.187631422
1024,4,4096,32,1.389314803
1024,4,4096,40,1.519868728
1024,4,4096,64,1.861552967
1024,5,4096,5,0.970094604
1024,5,4096,8,0.981590004
1024,5,4096,10,1.00599186
1024,5,4096,16,1.108823975
1024,5,4096,20,1.200924511
1024,5,4096,32,1.398757558
1024,5,4096,40,1.523829508
1024,5,4096,64,1.859939594
1024,8,4096,8,0.957378933
1024,8,4096,10,0.985611117
1024,8,4096,16,1.076879045
1024,8,4096,20,1.15859819
1024,8,4096,32,1.360023896
1024,8,4096,40,1.482616845
1024,8,4096,64,1.802792219
1024,10,4096,10,0.948326102
1024,10,4096,16,1.041629927
1024,10,4096,20,1.121051617
1024,10,4096,32,1.307362029
1024,10,4096,40,1.43086553
1024,10,4096,64,1.749754707
1024,16,4096,16,0.849378224
1024,16,4096,20,0.906803889
1024,16,4096,32,1.063442505
1024,16,4096,40,1.16616639
1024,16,4096,64,1.421526673
1024,20,4096,20,0.915492289
1024,20,4096,32,1.072829407
1024,20,4096,40,1.175321164
1024,20,4096,64,1.434037872
1024,32,4096,32,0.923974417
1024,32,4096,40,1.017426801
1024,32,4096,64,1.23947892
1024,40,4096,40,0.922603804
1024,40,4096,64,1.125379725
1024,64,4096,64,0.956844073
2048,2,2048,2,1
2048,2,2048,4,0.939931416
2048,2,2048,5,0.928205881
2048,2,2048,8,0.965625
2048,2,2048,10,0.996552989
2048,2,2048,16,1.115255947
2048,2,2048,20,1.182932692
2048,2,2048,32,1.401664779
2048,2,2048,40,1.534403618
2048,2,2048,64,1.878206138
2048,4,2048,4,1
2048,4,2048,5,0.988924927
2048,4,2048,8,1.029548286
2048,4,2048,10,1.065719006
2048,4,2048,16,1.188847653
2048,4,2048,20,1.258536585
2048,4,2048,32,1.49399953
2048,4,2048,40,1.625528205
2048,4,2048,64,1.98991429
2048,5,2048,5,1
2048,5,2048,8,1.041646871
2048,5,2048,10,1.080075006
2048,5,2048,16,1.205147903
2048,5,2048,20,1.279501673
2048,5,2048,32,1.508369418
2048,5,2048,40,1.640824056
2048,5,2048,64,2.001199924
2048,8,2048,8,1
2048,8,2048,10,1.033032455
2048,8,2048,16,1.151875428
2048,8,2048,20,1.22014479
2048,8,2048,32,1.446611453
2048,8,2048,40,1.57172625
2048,8,2048,64,1.922017295
2048,10,2048,10,1
2048,10,2048,16,1.111565192
2048,10,2048,20,1.178926669
2048,10,2048,32,1.3980256
2048,10,2048,40,1.526724355
2048,10,2048,64,1.864120344
2048,16,2048,16,1
2048,16,2048,20,1.059480333
2048,16,2048,32,1.255369473
2048,16,2048,40,1.361308486
2048,16,2048,64,1.658531347
2048,20,2048,20,1
2048,20,2048,32,1.179299653
2048,20,2048,40,1.284586677
2048,20,2048,64,1.569469209
2048,32,2048,32,1
2048,32,2048,40,1.087057049
2048,32,2048,64,1.328233969
2048,40,2048,40,1
2048,40,2048,64,1.220046028
2048,64,2048,64,1
2048,2,4096,2,0.981553928
2048,2,4096,4,0.923119208
2048,2,4096,5,0.936767965
2048,2,4096,8,0.951615565
2048,2,4096,10,0.974299239
2048,2,4096,16,1.069539483
2048,2,4096,20,1.154909641
2048,2,4096,32,1.349332022
2048,2,4096,40,1.474677251
2048,2,4096,64,1.813126754
2048,4,4096,4,0.98070778
2048,4,4096,5,0.999368511
2048,4,4096,8,1.008680134
2048,4,4096,10,1.039860711
2048,4,4096,16,1.142911002
2048,4,4096,20,1.224728896
2048,4,4096,32,1.431512515
2048,4,4096,40,1.576020282
2048,4,4096,64,1.921287172
2048,5,4096,5,1.00833329
2048,5,4096,8,1.022328943
2048,5,4096,10,1.053116847
2048,5,4096,16,1.155876279
2048,5,4096,20,1.244717536
2048,5,4096,32,1.463033072
2048,5,4096,40,1.593714801
2048,5,4096,64,1.941360881
2048,8,4096,8,0.98682745
2048,8,4096,10,1.011551348
2048,8,4096,16,1.110099056
2048,8,4096,20,1.191173027
2048,8,4096,32,1.390021872
2048,8,4096,40,1.517875652
2048,8,4096,64,1.85519419
2048,10,4096,10,0.977503108
2048,10,4096,16,1.072435595
2048,10,4096,20,1.151977615
2048,10,4096,32,1.351063366
2048,10,4096,40,1.478537227
2048,10,4096,64,1.801832309
2048,16,4096,16,0.964946985
2048,16,4096,20,1.037602436
2048,16,4096,32,1.213331383
2048,16,4096,40,1.319769843
2048,16,4096,64,1.609768562
2048,20,4096,20,0.976965501
2048,20,4096,32,1.140949851
2048,20,4096,40,1.245463059
2048,20,4096,64,1.521495363
2048,32,4096,32,0.966561283
2048,32,4096,40,1.057747096
2048,32,4096,64,1.284799381
2048,40,4096,40,0.967768705
2048,40,4096,64,1.180618652
2048,64,4096,64,0.967192438
4096,2,4096,2,1
4096,2,4096,4,0.93909731
4096,2,4096,5,0.965713756
4096,2,4096,8,0.979063053
4096,2,4096,10,1.00316763
4096,2,4096,16,1.100880075
4096,2,4096,20,1.182994125
4096,2,4096,32,1.389893854
4096,2,4096,40,1.522174704
4096,2,4096,64,1.857974952
4096,4,4096,4,1
4096,4,4096,5,1.00944632
4096,4,4096,8,1.026087889
4096,4,4096,10,1.062571023
4096,4,4096,16,1.161524762
4096,4,4096,20,1.242894195
4096,4,4096,32,1.452368323
4096,4,4096,40,1.585622509
4096,4,4096,64,1.952035018
4096,5,4096,5,1
4096,5,4096,8,1.015280393
4096,5,4096,10,1.040112467
4096,5,4096,16,1.139218698
4096,5,4096,20,1.227946318
4096,5,4096,32,1.434055709
4096,5,4096,40,1.572926821
4096,5,4096,64,1.926307891
4096,8,4096,8,1
4096,8,4096,10,1.028022542
4096,8,4096,16,1.126329372
4096,8,4096,20,1.215703686
4096,8,4096,32,1.412492231
4096,8,4096,40,1.545192009
4096,8,4096,64,1.877512183
4096,10,4096,10,1
4096,10,4096,16,1.09504944
4096,10,4096,20,1.177283807
4096,10,4096,32,1.380520856
4096,10,4096,40,1.514307433
4096,10,4096,64,1.842615104
4096,16,4096,16,1
